name,namex,category,price_elasticity,price_mean,impressions_mean,intercept,slope
Sennheiser - HD 599 Over-the-Ear Headphones HD 5 - Brown/ivory/matte metallic,29,headphone,0.026125423,0.15037594,1.284733285,1.251169085,0.223201931
Razer Ripsaw USB 3.0 Game Stream and Capture Card for PC,30,"tv, streaming, medium",-0.425708304,1.328947368,0.642605631,0.916168184,-0.20584905
Adventura SH 140 II Shoulder Bag (Black),31,"camera, bag",-0.014635306,0.539473684,0.603401934,0.612232906,-0.016369606
"Refurbished Samsung Curved 65 4K (2160P) Smart QLED TV (2017 Model) + 1 Year Extended Warranty (QN65Q7CAMFXZA)""",32,"tv, 4k, television",0.083461318,15.09533303,0.616507059,0.565052567,0.003408636
Toshiba X300 4TB Performance Desktop and Gaming Hard Drive 7200 RPM 128MB Cache SATA 6.0Gb/s 3.5 Inch Internal Hard Drive (HDWE140XZSTA),33,"drive, storage, hard",-0.610027489,2.824561404,2.871089656,4.622533269,-0.62007631
Alpha a5100 Mirrorless Digital Camera with 16-50mm Lens (White),34,"camera, mirrorless",-0.372686336,3.470932233,0.445501353,0.611533619,-0.047835064
Cooler Master - HAF X Ultimate Full-Tower Chassis - Black,35,"case, computer",-0.498851232,0.789473684,0.408820923,0.612761745,-0.25832504
"Details About Samsung 55 Class 4k (2160p) Smart Led Tv (un55mu7000fxza)""",36,"tv, television, led",0.471999314,12.90450252,0.626046169,0.330552807,0.02289847
"Sony - 55 Class - LED - X800E Series - 2160p - Smart - 4K UHD TV with HDR""",37,"tv, 4k, television",-0.545304493,5.972537112,0.474519279,0.733276773,-0.043324552
"MTX - Monitor Series Dual 6-1/2 200W 2-way Center-Channel Speaker (Each) - Black""",38,"speaker, center, channel",-0.088131169,0.631578947,1.665772646,1.812579136,-0.23244361
Details About New Oem Apple Ipad Air 2 Otterbox Defender Rugged Series Case With Kick Stand,39,"case, computer",-2.603682076,6.464342675,-0.053960208,-0.194455435,0.021733877
Pyle Backup Rear View Car Camera Monitor Screen System Kit - Parking and Reverse Safety Distance Scale Lines,40,"car, gps, dash",1.564424103,11.11842105,0.116613503,-0.065819472,0.016408173
UBD-M9500 HDR UHD Upscaling Blu-ray Disc Player,41,"player, ipod",0.204260891,4.815979342,0.431906041,0.343684529,0.018318499
HT-XT2 170W 2.1-Channel TV Speaker Base (Black),42,"sound, speaker, home",-0.205517021,3.565789474,1.093929838,1.31875104,-0.063049488
mophie powerstation Plus Mini External Battery with Built in Cables for Smartphones and Tablets (4,43,"power, battery, cell",-0.12140739,1.438596491,4.779859657,5.360169944,-0.403386419
Actiontec 300 Mbps Wireless-N ADSL Modem Router (GT784WN),44,"networking, modem, router",-0.218110067,3.390497076,0.338663328,0.412529209,-0.021786151
DP-300F Fully Automatic Turntable,45,"turntable, cd, audio",0.264704382,0.150877193,1.879260505,1.381812014,3.297042321
Linksys Velop Tri-Brand Whole Home WiFi System-- White (AC6600),46,"networking, modem, router",-2.386872449,3.284210526,0.202935223,0.687315715,-0.14748765
Olympus TG-5 Waterproof Camera with 3-Inch LCD,47,"camera, shoot, point",0.150275015,0.203258145,0.640641708,0.544369266,0.473646171
MyWirelessTV2 Multi-Room Wireless HD Video Kit,48,"tv, streaming, medium",-0.249522551,1.973684211,0.528482938,0.660351349,-0.066813328
NETGEAR Nighthawk X10 AD7200 802.11ac/ad Quad-Stream WiFi Router,49,"networking, modem, router",-0.016069117,2.881578947,0.786131532,0.798763971,-0.00438386
"4TB Network OEM HDD Retail Kit (8-Pack, WD40EFRX, Red Drives)",50,"drive, storage, hard",-0.237491036,0.221291866,1.023047108,1.266011625,-1.097936954
Master and Dynamic MH40S2 Award Winning Over-ear,51,headphone,0.233147949,0.126315789,0.62540133,0.479590293,1.154337378
Apple - iPod touch® 32GB MP3 Player - Space Gray,52,"player, ipod",0.269608244,0.590538847,1.195731315,0.873352295,0.545906543
CORSAIR - ML Series 140mm Case Cooling Fan - White,53,"tablet, computer, ipad",-0.474856428,7.605263158,0.078569407,0.115878596,-0.004905706
EA9300 Tri-Band Wireless-AC4000 MAX-STREAM MU-MIMO Gigabit Router,54,"networking, modem, router",-0.131249108,0.236842105,0.219020887,0.247767183,-0.12137325
"Sanus Tilt TV Wall Mount for 46 - 90"" - Bracket fits most LED""",55,"mount, tv, stand",0.792021533,54.01754386,0.086466165,0.017983101,0.001267793
EcoXGear Ecostone Bluetooth Speaker,56,"speaker, portable, bluetooth",-0.682912268,1.736842105,0.191161616,0.321708229,-0.075163201
"AOC - 18.5 LED Monitor - Black""",57,"monitor, computer",-0.080207611,1.885964912,-0.070441255,-0.076091179,0.002995774
Alpha a7 II Mirrorless Digital Camera Body with Accessory Kit,58,"camera, mirrorless",-0.496754897,1.293233083,2.046270608,3.062765553,-0.786010626
4K Video Camera,59,"camera, camcorder, action",-2.095234321,23.39184294,0.527848891,1.633816003,-0.047280033
Sony - XB7 Extra Bass Audio System with Bluetooth - Black,60,"speaker, portable, bluetooth",-0.427127763,5.448464912,2.941450088,4.197825083,-0.230592472
RS 195 Digital Wireless Headphone System,61,headphone,0.063640952,2.496240602,0.61985932,0.580410883,0.015803139
Samsung - 850 EVO 500GB Internal SATA Solid State Drive for Laptops and PC,62,"drive, storage, hard",-0.061035659,3.134502924,0.415311005,0.440659785,-0.008087018
"Details About Openbox Excellent: Alienware Aw2518h 25 Led Fhd Gsync Monitor Black""",63,"monitor, computer",2.847475924,0.719298246,0.020960295,-0.038723641,0.082975229
"ELECTRIC100H Spectrum Motorized Projection Screen (49 x 87, 110V, 60Hz)",64,"screen, projector, projection",-0.280734414,1.394736842,0.674415205,0.863746762,-0.135747154
Seagate Backup Plus 2TB Portable External Hard Drive for Mac USB 3.0 + 2mo Adobe CC Photography (STDS2000100),65,"drive, storage, hard",-0.867742913,1.407894737,0.168102073,0.313971456,-0.10360816
XBR-X850E-Series 75-Class HDR UHD Smart LED TV,66,"tv, television, led",-0.308294513,6.601364522,0.488621633,0.639261001,-0.022819429
GoPro HERO6 Black Camera,67,"camera, camcorder, action",0.038059286,0.342105263,0.524856503,0.504880839,0.058390402
Razer Naga Chroma MMO Gaming Mouse 12 Programmable Thumb Buttons 16000 DPI Wired,68,"mouse, keyboard",-0.261391153,5.704385965,0.603521788,0.761277044,-0.027655081
The Rebel BT On-Ear Wireless Bluetooth Headphones (Black),69,"headphone, earbud, bluetooth",0.02535563,0.852631579,0.254220434,0.247774514,0.007560029
Samsung Radiant360 R1 Wi-Fi/Bluetooth Speaker WAM1500/ZA - Black (Certified Refurbished),70,"wireless, speaker, audio",-54.96284889,2.531578947,0.001873795,0.104862925,-0.040681777
Details About Razer Mamba Chroma Professional Grade Esports Wired/wireless Ergonomic Gaming,71,"mouse, keyboard",-0.026778635,0.421052632,0.413691314,0.424769403,-0.026310461
Toshiba - 1TB Internal SATA Hard Drive for Laptops,72,"drive, storage, hard",-0.134217259,0.052631579,0.242776616,0.275361428,-0.619111428
Clarity - Super-Loud Phone Ringer - White,73,"phone, cell",1.797818281,12.05263158,0.120175439,-0.095878162,0.017925845
Details About Fits Chevy Silverado Pickup 19992006 Speaker Upgrade Pioneer Tsg1345r Tsg4620s,74,"car, speaker, subwoofer",0.284346006,2.34887218,0.156051686,0.111679012,0.018891055
Details About Microsoft Arc Mouse Bluetooth 4.0 Souris Wireless For Surface Windows 10,75,"mouse, keyboard",7.404495325,0.473684211,0.011388889,-0.072940086,0.178027835
SiriusXM - Onyx Plus Satellite Radio Receiver with Home Kit - Black,76,"radio, portable, satellite",0.140170556,0.631578947,0.054891252,0.047197115,0.012182384
Nikon - COOLPIX B700 20.2-Megapixel Digital Camera - Black,77,"camera, shoot, point",-0.208169346,0.668922306,0.823315676,0.994704762,-0.25621673
iPhone 7 Smart Battery Case (Black),78,"phone, cell",0.185841879,2.236842105,0.433873144,0.353241344,0.036047158
32GB High Speed UHS-I SDHC U3 Memory Card (Class 10),79,"card, memory, camera",-0.414101545,2.210526316,0.229845447,0.325024802,-0.043057327
Apple - Smart Cover for Apple iPad and iPad® Air 2 - Charcoal Gray,80,"case, computer",-0.154254839,2.662280702,3.093970031,3.57122988,-0.179267291
Tablo DUAL OTA DVR for Cord Cutters - 64 GB with WiFi - For use with HDTV Antennas,81,"tv, streaming, medium",-0.554124608,0.947368421,0.112307283,0.174539513,-0.065689575
CORSAIR HYDRO SERIES H100i v2 AIO Liquid CPU Cooler,82,"tablet, computer, ipad",0.120376747,1.350877193,0.343688564,0.302316453,0.030626108
Belkin Travel RockStar Surge Protector with 2 AC Outlets,83,"power, battery, cell",-0.188821062,4.546365915,1.061823861,1.262318571,-0.044099994
Toshiba - 1TB Internal SATA Hard Drive for Desktops,84,"drive, storage, hard",1.332613403,1.210526316,0.652965748,-0.21718516,0.718820315
T113UWS1 Portable Tripod Screen (80x80),85,"screen, projector, projection",3.620517704,3.171052632,-0.00652326,0.017094319,-0.007447867
Samsung Galaxy Grand Prime G530A AT_T Unlocked 4G LTE Phone w/ 8MP Camera - White,86,"phone, cell",-0.143459341,0.35111913,694.4832056,794.1133086,-283.7501422
Wireless HD Digital Kit,87,"tv, streaming, medium",-0.832077084,5.021052632,0.405604288,0.743098322,-0.067215793
JVC KW-R920BTS 2-DIN Bluetooth In-Dash Car Stereo and SiriusXM Ready #KW92BT,88,"car, gps, dash",20101.94444,1.092105263,4.89E-06,-0.098285437,0.090000781
Denon AVRX2300W  Dealer ReCertified  7.2 AV Receiver w/ Dolby Atmos,89,"receiver, amplifier, home",-0.188448334,8.912280702,0.323423331,0.384371919,-0.00683872
"Rand McNally 0528011715 IntelliRoute 7 TND 730 GPS Unit""",90,"car, gps, dash",-0.583333333,7.736842105,-0.072807018,-0.115277778,0.005489418
EF 50mm f/1.4 USM Lens,91,"lens, camera",0.10064194,8.064035088,0.9599173,0.863309361,0.011980099
Philips174 Blu-Ray Disc Player,92,"player, ipod",1.287230123,5.194844871,2.258900222,-0.648824189,0.559732674
"Asus - 17.3 Laptop - Intel Pentium - 8GB Memory - 1TB Hard Drive - Black""",93,"laptop, computer",1.49792823,0.315789474,-0.017880958,0.008903434,-0.084817239
Sony MDRXB950B1 Extra Bass Wireless Headphones App Control BLACK #97 (GRADE A),94,"headphone, earbud, bluetooth",0.269834982,1.444187392,0.345467145,0.252248024,0.064547801
DUB-1340 4-Port USB 3.1 Gen 1 Hub,95,"networking, adapter, switch",0.018461367,11.84473684,0.055233581,0.054213894,8.61E-05
Pioneer - Elite 7.2-Ch. Hi-Res 4K Ultra HD HDR Compatible A/V Home Theater Receiver - Black,96,"receiver, amplifier, home",-0.201291269,1.657894737,0.421955297,0.506891214,-0.051231188
Kingston - HyperX Savage 480GB Internal SATA III Solid State Drive for Laptops,97,"drive, storage, hard",-0.055555556,0.561403509,-0.039411028,-0.041600529,0.00390005
SanDisk - High Endurance 64GB microSDXC Memory Card,98,"card, memory, camera",1,2,0.01754386,0,0.00877193
Kenwood - CD - Built-In Bluetooth - Apple® iPod®- and Satellite Radio-Ready - In-Dash Deck - Black,99,"car, gps, dash",-0.12370623,1.912280702,2.440752975,2.742689324,-0.15789332
"Samsung Galaxy Tab E Lite Kids 7; 8 GB Wifi Tablet (White) SM-T113NDWACCC""",100,"tablet, computer, ipad",-0.219199395,1.315789474,0.323324441,0.394196963,-0.053863117
"VIZIO - 50 Class - LED - M-Series - 2160p - Smart - Home Theater Display with HDR""",101,"tv, 4k, television",-0.068460818,0.631578947,0.674727048,0.720919413,-0.073137912
Sony - Premium Jacket Camera Case - Black,102,"camera, bag",-0.292048615,2.165413534,0.213088159,0.275320261,-0.02873913
"Alpine - 6-1/2 2-Way Component Car Speakers with Poly-Mica Cones (Pair) - Black""",103,"car, speaker, subwoofer",0.02195714,1.590225564,1.409964871,1.379006075,0.019468179
Details About Spring Deals Retal Box Sale Sx720 Canon Powershot Sx 720 Hs Digital Camera,104,"camera, shoot, point",0.088737353,1.741626794,0.326312833,0.297356696,0.016625914
"VIZIO 39 Class FHD (1080P) Smart LED TV (D39f-E1)""",105,"tv, television, led",0.02523414,1.791666667,0.819630433,0.798947764,0.011543815
Alpha a6000 Mirrorless Digital Camera with 16-50mm and 55-210mm Lenses Kit (Silver),106,"camera, mirrorless",-0.109389877,3.400518341,0.185794243,0.206118252,-0.005976739
Details About Razer Kraken Pro V2 Analog Gaming Headset For Pc/xbox One/ps4 Black (p05),107,"headset, game, computer",0.039638873,0.678947368,0.839608244,0.80632712,0.049018711
Details About Sony Kd43x720e 43inch 4k Ultra Hd Smart Led Tv (2017 Model) Kd43x720e,108,"tv, 4k, television",-0.055298253,1.245614035,1.379298657,1.455571463,-0.061233098
Versavu Classic 360 Case for Apple iPad Air,109,"case, computer",-0.14492931,1.043859649,-0.106043361,-0.121412152,0.014723044
"ViewSonic - 21.5 LED HD Monitor - Black""",110,"monitor, computer",-0.063694153,1.350877193,0.415118582,0.441559209,-0.019572931
"Planet Audio - 6.2 - Bluetooth - In-Dash DVD Receiver - Black""",111,"car, gps, dash",-0.254813381,1.210526316,0.238982071,0.2998779,-0.05030525
Details About Wd Red Pro 8tb Nas Desktop Hard Drive Intellipower 6 Gbs 128 Mb Cache Wd8001ffwx,112,"drive, storage, hard",0.701060818,0.157894737,0.422201337,0.126212522,1.874595826
391 Series C32F391 32 16:9 Curved FreeSync LCD Monitor,113,"monitor, computer",0.921511274,2.587151703,-0.03853106,-0.003024254,-0.013724285
Everest Elite 700 Around-Ear Wireless Headphones (White),114,headphone,1.333889058,0.14619883,0.206976008,-0.069107024,1.888407941
Sony - Cyber-shot DSC-HX80 18.2-Megapixel Digital Camera,115,"camera, shoot, point",-0.167357964,0.410526316,3.415986014,3.987678477,-1.392584204
Sony MDR-1A Headphone - Black (International Version U.S. warranty may not apply),116,headphone,0.198449467,0.127819549,0.234341073,0.187836212,0.363832148
"Samsung - 49 Class - LED - Q6F Series - 2160p - Smart - 4K UHD TV with HDR""",117,"tv, television, led",0.729228657,7.275,0.670609215,0.181581758,0.067220269
"Kicker DSC44 4 D-Series 2-Way Car Speakers with 1/2"" Tweeters""",118,"car, speaker, subwoofer",1.786449655,1.513157895,0.112907268,-0.088795882,0.133299473
"2) New Kicker 41KSC6934 6x9 3-Way 300 Watt Car Audio Coaxial Speakers KSC693""",119,"car, speaker, subwoofer",-0.811909138,36.81954887,1.014485226,1.838155052,-0.022370449
ZS-RS60BT CD Boombox,120,"radio, portable, satellite",1.047678391,0.115789474,-0.017594616,0.000838883,-0.159198397
"Kenwood - 6.2 - Apple CarPlay™ - Built-in Navigation - Bluetooth - In-Dash CD/DVD/DM Receiver - Black""",121,"car, gps, dash",0.654538218,2.077192982,1.710840565,0.591030031,0.539097976
"7.0 Tab A 8GB Tablet (Wi-Fi Only, Black)",122,"tablet, computer, ipad",0.9924977,1.835032368,4.027729672,0.030217236,2.178442466
iPL24 FM Clock Radio with Lightning Dock and USB Port (Gunmetal),123,"speaker, portable, bluetooth",-0.26619885,6.710526316,0.340437852,0.431062016,-0.013504777
Optoma - UHD60 4K DLP Projector with High Dynamic Range - White,124,"projector, presentation, screen",0.743877377,1.052631579,-0.043449905,-0.011128504,-0.030705331
MU9000-Series 65-Class HDR UHD Smart LED TV,125,"tv, 4k, television",-0.457505062,14.79865365,0.372140001,0.542395935,-0.011504826
V-MODA - Crossfade 2 Wireless Over-the-Ear Headphones - Rose gold,126,"headphone, earbud, bluetooth",-0.075499954,1.736842105,2.678386249,2.880604288,-0.116428568
M80UWH Manual Series Projection Screen (39.6 x 69.6),127,"screen, projector, projection",0.163316114,4.815789474,-0.039219986,-0.03281473,-0.001330053
"Samsung - 40 Class (39.5"" Diag.) - LED - 1080p - Smart - HDTV""",128,"tv, television, led",0.086731332,4.75877193,0.56913286,0.519771209,0.010372771
TL-SF1008P 8-Port 10/100Mbps Desktop Switch with 4-Port PoE,129,"networking, adapter, switch",0.16397073,0.565789474,0.02300638,0.019234007,0.00666745
SanDisk - Ultra 32GB microSDHC Class 10 Memory Card,130,"card, memory, camera",-0.038593612,0.062200957,0.513773494,0.533601869,-0.318779259
Att Samsung Galaxy Express 3,131,"phone, cell",2.094532725,11.60691384,0.316547231,-0.346471303,0.057122724
JOBY GorillaPod 3K Kit. Compact Tripod 3K Stand and Ballhead 3K for Compact Mirrorless Cameras or devices up to 3K (6.6lbs). Black/Charcoal.,132,"camera, shoot, point",1.267691691,0.082706767,0.158607202,-0.04245783,2.431059023
3TB AirPort Time Capsule (5th Generation),133,"drive, storage, hard",-0.212463386,2.736842105,0.551461792,0.668627231,-0.042810449
BOYO - Concealed Mount License Plate Camera with Night Vision - Black,134,"car, gps, dash",-0.177910299,0.631578947,0.427910686,0.504040404,-0.120538721
Logitech Harmony Smart Control with Smartphone App and Simple All In One Remote - Black,135,"remote, control, tv",-0.235121492,3.964035088,6.093577933,7.526309067,-0.361432505
Alpine - UTE - Apple iPod- and Satellite Radio-Ready - In-Dash Receiver - Black,136,"car, gps, dash",-0.04389871,1.052631579,1.140142156,1.190192926,-0.047548232
Details About *new~sennheiser Hd 4.50 Btnc Wireless Noise Cancelling Headphones~touch Controls,137,headphone,-0.223693196,3.947368421,0.389932493,0.477157738,-0.022097062
MU8000-Series 65-Class HDR UHD Smart LED TV,138,"tv, television, led",-0.145472447,12.26754386,1.242075309,1.422763044,-0.014728925
LG Electronics OLED65C7P 65-Inch 4K Ultra HD Smart OLED TV - Refurbished,139,"tv, 4k, television",-0.713020448,9.923558897,0.173377033,0.296998402,-0.012457362
SanDisk Extreme 500 480GB USB 3.0 Portable SSD (Solid State Drive) - SDSSDEXT-480G,140,"drive, storage, hard",-0.624287895,1.932330827,0.203840873,0.331096262,-0.065855902
iSimple ISBC01 BluClik Bluetooth Remote Control with Steering Wheel and Dash Mounts,141,"car, gps, dash",0.243295019,0.236842105,0.092948718,0.070334758,0.095481165
Details About Garmin Etrex 10 Handheld Outdoor Hiking Gps Receiver Brand New 0100097000,142,"car, gps, dash",-0.104470697,0.280701754,0.378584587,0.418135582,-0.140900422
Apple - Pre-owned 9.7-inch iPad Pro - 32GB - Space gray,143,"tablet, computer, ipad",-0.522729525,1.098564593,0.109907478,0.167359362,-0.052297229
GP60NB50 8x Super-Multi Portable DVD Rewriter with M-DISC,144,"drive, dvd, computer",-0.819398287,18.34553429,0.05717419,0.104022624,-0.00255367
Sony - XB20 Portable Bluetooth Speaker - Blue,145,"speaker, bluetooth, mobile",-0.043579251,1.645363409,0.425326208,0.443861606,-0.01126523
Details About Kenwood 12 Inch 2000 Watt 4 Ohm Single Voice Coil Audio Subwoofer | Kfcw3016ps,146,"car, speaker, subwoofer",-0.234183047,1.421052632,1.147556391,1.416294643,-0.189112103
SiriusXM SXSD2 Portable Speaker Dock Audio System for Dock and Play Radios (Black),147,"speaker, portable, bluetooth",-0.583333333,5.157894737,0.578439642,0.915862766,-0.065418769
V-MODA - CROSSFADE M-100 Over-the-Ear Headphones - Shadow,148,headphone,-0.452767245,0.921052632,0.533207618,0.774626563,-0.262111997
Grace Digital - 3Play Bluetooth Audio Adapter - Black,149,"wireless, speaker, audio",2.996073886,9.207017544,0.063945119,-0.127639183,0.020808508
PowerShot G7 X Mark II Digital Camera with Free Accessory Kit,150,"camera, shoot, point",-0.158728259,1.94606972,4.550283241,5.272541779,-0.371137031
"Sony - 55 Class - OLED - A1E Series - 2160p - Smart - 4K UHD TV with HDR""",151,"tv, 4k, television",-0.18076721,2.428070175,0.767978169,0.906803439,-0.057175148
House of Marley Smile Jamaica In-Ear Earbuds,152,"headphone, earbud, bluetooth",-0.933768675,5.157894737,0.789493628,1.526698047,-0.142927387
Logitech K800 Wireless Illuminated Keyboard — Backlit Keyboard,153,"keyboard, computer, mouse",-0.111678616,4.815789474,0.740682392,0.823400776,-0.017176495
LG - Super-Multi 24x External USB 2.0 Double-Layer DVD±/CD-RW Drive - Black,154,"drive, dvd, computer",2.520719017,2.127192982,0.226935507,-0.345105141,0.268918078
Asus RT-AC5300 IEEE 802.11ac Ethernet Wireless Router - 2.40 GHz ISM Band - 5 GHz UNII Band - 8 x Antenna(8 x External) - 5334 Mbit/s Wireless Speed - 4 x Network Port - 1 x Broadband Port - USB - Gig,155,"networking, modem, router",0.149628209,0.198830409,0.507674996,0.431712496,0.382046692
"Polk Audio - Vanishing Series RT 7 3-Way In-Ceiling Speaker (Each) - White""",156,"speaker, ceiling, wall",0.014193716,6.789473684,0.306265664,0.301918616,0.000640263
Source 530 Full Tower Case (Black),157,"case, computer",-0.125807164,0.447368421,1.69615829,1.909547155,-0.476986874
Silicondust HDHomeRun-HD-Television-Tuner,158,"tv, streaming, medium",0.08908963,1.078947368,0.688700919,0.627344809,0.056866638
Liberate XLBT Bluetooth Headphones (Midnight),159,headphone,-0.118803759,1.657894737,1.303399936,1.458248747,-0.09340087
Sanus WSS2-W1 White Sonos Speaker Stands,160,"mount, tv, stand",-0.387838021,0.447368421,0.108855472,0.151073763,-0.094370297
LG Electronics OLED65E6P Flat 65-Inch 4K Ultra HD Smart OLED TV (2016 Model),161,"tv, 4k, television",0.120779972,2.336687307,1.46829273,1.290952376,0.075893918
"Details About Samsung 24 Class Hd (720p) Smart Led Tv (un24m4500)""",162,"tv, television, led",0.151943324,6.972368421,0.134510343,0.114072394,0.002931278
Onkyo - TX 7.2-Ch. Network-Ready A/V Home Theater Receiver - Black,163,"receiver, amplifier, home",-0.097127659,1.052631579,1.202729618,1.31954793,-0.110977397
Details About Seagate 4 Terabyte (4tb) Superspeed Usb 3.0 Game Drive For Xbox One Stea4000402,164,"drive, storage, hard",-0.130825229,0.364035088,0.822394413,0.929984351,-0.295548261
AF-S NIKKOR 85mm f/1.8G Lens,165,"lens, camera",-0.155362679,0.657894737,1.19268088,1.377978977,-0.281653107
Sigma - 35mm f/1.4 DG HSM Art Standard Lens for Canon - Black,166,"lens, camera",-0.033042796,1.147368421,0.397363002,0.410492986,-0.011443564
V206HQL Abd 19.5 LED Backlit LCD Monitor (Black),167,"monitor, computer",-0.635362589,1.714912281,0.11318658,0.185101098,-0.041934809
Seagate Backup Plus Ultra Slim 2TB Portable External Hard Drive,168,"drive, storage, hard",0.049104862,0.520467836,-0.071375337,-0.067870461,-0.006734088
Amazon - Amazon Tap Portable Bluetooth and Wi-Fi Speaker - Black,169,"smart, home, automation",0.114123273,1.199804465,0.702823963,0.622615392,0.066851369
FUGOO - Sport XL Portable Bluetooth Speaker - Black/White,170,"speaker, bluetooth, mobile",-37.70799458,0.350877193,-0.002213225,-0.085669516,0.237850427
Lumix G 25mm f/1.7 ASPH. Lens,171,"lens, camera",0.275628616,0.256578947,1.593608099,1.154364105,1.711925312
Details About Genuine Used Apple 85w Magsafe Power Adapter Mc556ll/b Model A1343 1185cl,172,"charger, computer, laptop",-0.091696344,0.614035088,12.57105908,13.72377923,-1.877287111
Bower - Electret Condenser Microphone,173,"microphone, musical, recording",0.696669592,6.146260388,0.917861722,0.278415371,0.104038279
"Samsung - 50 Class (49.5"" Diag.) - LED - 1080p - Smart - HDTV""",174,"tv, television, led",0.842027251,6.15056391,0.332163743,0.05247282,0.045474029
"Samsung Level U PRO Headphones with ANC, Black",175,"headphone, earbud, bluetooth",-0.943837871,7.089473684,0.364374861,0.708285655,-0.04851006
CORSAIR CL-9011109-WW Lighting Node PRO,176,"tablet, computer, ipad",-1.383469051,2.368421053,0.015490206,0.036920426,-0.009048315
